Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
The success of the fertilization and early larval development of the tropical sea urchin Echinometra lucunter (Echinodermata: Echinoidea) is affected by the pH decrease and temperature increase,10.1016/j.marenvres.2020.105106,20,,206.39,S,-20.05733056,40,16,43.59,W,-40.278775,,
An unprecedented association of an encrusting bryozoan on the test of a live sea urchin: epibiotic relationship and physiological responses,10.1007/s12526-020-01108-1,23,49,24,S,-23.82333333,45,25,1,W,-45.41694444,1.5-2,
Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae) [Aislamiento y caracterización de 17 microsatélites polimórficos en un erizo de mar (Echinometra lucunter: Echinometridae)],10.18257/RACCEFYN.1113,10,41,20.7,N,10.68908333,63,52,29.11,W,-63.87475278,,15-02-2016
Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae) [Aislamiento y caracterización de 17 microsatélites polimórficos en un erizo de mar (Echinometra lucunter: Echinometridae)],10.18257/RACCEFYN.1114,15,58,17.92,N,15.97164444,86,28,14.36,W,-86.47065556,,14-05-2015
Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae) [Aislamiento y caracterización de 17 microsatélites polimórficos en un erizo de mar (Echinometra lucunter: Echinometridae)],10.18257/RACCEFYN.1115,17,57,8.61,N,17.95239167,67,3,24.3,W,-67.05675,,15-06-2016
"Echinometra sea urchins on Caribbean coral reefs: Diel and lunar cycles of movement and feeding, densities, and morphology",10.1016/j.jembe.2020.151430,9,34,,N,9.566666667,78,58,,W,-78.96666667,,1983/1991
Spatial Abundance and Colour Morphotype Densities of the Rock-Boring Sea Urchin (Echinometra lucunter) at Two Different Habitats,10.1007/s41208-019-00170-2,10,50,,N,10.83333333,60,55,,W,-60.91666667,,
Assessment of sea urchin spawning induction and oocyte conservation applied to ecotoxicological assays,10.1590/S2675-28242020068288,26,44,41.09,S,-26.74474722,48,38,13.62,W,-48.63711667,,2012-2018
Physiological and biochemical responses of a coralline alga and a sea urchin to climate change: Implications for herbivory,10.1016/j.marenvres.2018.09.026,27.573767,,,S,-27.573767,48.420295,,,W,-48.420295,,
Physiological and biochemical responses of a coralline alga and a sea urchin to climate change: Implications for herbivory,10.1016/j.marenvres.2018.09.027,27.749376,,,S,-27.749376,48.502852,,,W,-48.502852,,
Effects of the water-soluble fraction of diesel oil (WSD) on the fertilization and development of a sea urchin (Echinometra lucunter),10.1016/j.ecoenv.2018.06.040,20,10,24.32,S,-20.17342222,40,11,11.89,W,-40.18663611,,
"Anthropic influence on rocky shores of Astúrias and Mar Casado beaches, Guarujá, Brazil",,24,,33,S,-24.00916667,46,15,56.9,W,-46.26580556,,
"Anthropic influence on rocky shores of Astúrias and Mar Casado beaches, Guarujá, Brazil",,23,58,25.4,S,-23.97372222,46,11,8.8,W,-46.18577778,,
ABCB1 and ABCC1-like transporters in immune system cells from sea urchins Echinometra lucunter and Echinus esculentus and oysters Crassostrea gasar and Crassostrea gigas,10.1016/j.fsi.2017.09.014,7,8,54.1,S,-7.148361111,34,47,43.2,W,-34.79533333,,07-08-2013
Early time course of variation in coelomic fluid ionic concentrations in sea urchins abruptly exposed to hypo- and hyper-osmotic salinity challenges: Role of size and cross-section area of test holes,10.1002/jez.2138,26,46,27,S,-26.77416667,48,36,2,W,-48.60055556,,
Preliminary molecular characterization of a proinflammatory and nociceptive molecule from the Echinometra lucunter spines extracts,10.1186/s40409-017-0133-8,23,49,53,S,-23.83138889,45,31,18,W,-45.52166667,,
Declines in plant palatability from polar to tropical latitudes depend on herbivore and plant identity,10.1002/ecy.1918,25,,,N,25,80.5,,,W,-80.5,,
Effects of salinity on the immune system cells of the tropical sea urchin Echinometra lucunter,10.1016/j.jembe.2016.09.012,7,8,54.1,S,-7.148361111,34,47,43.2,W,-34.79533333,,
Rock-boring urchin roe from Brazilian subtropical coastal zone for human consumption [Ovas de ouriço-do-mar de zona costeira subtropical brasileira para consumo humano],10.4025/actascitechnol.v39i4.29860,24,0,31,S,-24.00861111,46,19,28,W,-46.32444444,,
Ocean acidification affects parameters of immune response and extracellular pH in tropical sea urchins Lytechinus variegatus and Echinometra luccunter,10.1016/j.aquatox.2016.09.010,23,49.53,,S,-23.8255,45,26.394,,W,-45.4399,,
Volume regulation of intestinal cells of echinoderms: Putative role of ion transporters (Na+/K+-ATPase and NKCC),10.1016/j.cbpa.2016.07.006,26,46,27,S,-26.77416667,48,36,2,W,-48.60055556,,
Assessing the reliability of two tagging techniques in the echinoid Echinometra lucunter,10.1016/j.rsma.2016.01.006,18,28,5.39,N,18.46816389,66,8,12.97,W,-66.13693611,,
Understanding trophic relationships among Caribbean sea urchins [Relaciones tróficas entre los erizos de mar Caribe],10.15517/rbt.v64i2.19366,18,16,51.4,N,18.28094444,65,17,12.21,W,-65.286725,,
Understanding trophic relationships among Caribbean sea urchins [Relaciones tróficas entre los erizos de mar Caribe],10.15517/rbt.v64i2.19366,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,,
Understanding trophic relationships among Caribbean sea urchins [Relaciones tróficas entre los erizos de mar Caribe],10.15517/rbt.v64i2.19366,18,18,55.29,N,18.31535833,65,19,5.82,W,-65.31828333,,
Understanding trophic relationships among Caribbean sea urchins [Relaciones tróficas entre los erizos de mar Caribe],10.15517/rbt.v64i2.19366,18,18,15.7,N,18.30436111,65,18,42.27,W,-65.31174167,,
Echinodermata in ecotoxicological tests: Maintenance and sensitivity,10.1590/S1679-87592016100106401,26,44,41.09,S,-26.74474722,48,38,13.26,W,-48.63701667,,
Diet of the black sea urchin Echinometra lucunter (Echinometra: Echinoidea) in the northeast of Venezuela [Dieta del erizo negro Echinometra lucunter (Echinometra: Echinoidea) en el Nororiente de Venezuela],10.15517/rbt.v63i2.23157,10,27,30,N,10.45833333,64,1,52,W,-64.03111111,,
Gametogenic cycle of the rock boring urchin Echinometra lucunter (Echinodermata: Echinoidea) in northeastern Venezuela [Ciclo gametogénico del erizo marino Echinometra lucunter (Echinometra: Echinoidea) en el Noriente de Venezuela],10.15517/rbt.v63i2.23162,10,27,30,N,10.45833333,64,1,52,W,-64.03111111,,06/2010 - 11/2011
Gametogenic cycle of the rock boring urchin Echinometra lucunter (Echinodermata: Echinoidea) in northeastern Venezuela [Ciclo gametogénico del erizo marino Echinometra lucunter (Echinometra: Echinoidea) en el Noriente de Venezuela],10.15517/rbt.v63i2.23162,10,41,38,N,10.69388889,63,52,33,W,-63.87583333,,06/2010 - 11/2011
"Can sea urchins beat the heat? Sea urchins, thermal tolerance and climate change",10.7717/peerj.1006,19,16,42.69,N,19.278525,81,23,34.79,W,-81.39299722,,
Comparative DNA damage and repair in echinoderm coelomocytes exposed to genotoxicants,10.1371/journal.pone.0107815,32,21.2,,N,32.35333333,64,39.8,,W,-64.66333333,,09 10/2013
Comparative DNA damage and repair in echinoderm coelomocytes exposed to genotoxicants,10.1371/journal.pone.0107815,32,19.1,,N,32.31833333,64,42.8,,W,-64.71333333,,09 10/2013
Differential responses of emergent intertidal coral reef fauna to a large-scale el-niño southern oscillation event: Sponge and coral resilience,10.1371/journal.pone.0093209,12,40,37,S,-12.67694444,38,5,23,W,-38.08972222,,
Differential responses of emergent intertidal coral reef fauna to a large-scale el-niño southern oscillation event: Sponge and coral resilience,10.1371/journal.pone.0093210,12,39,,S,-12.65,38,3,43,W,-38.06194444,,
Differential responses of emergent intertidal coral reef fauna to a large-scale el-niño southern oscillation event: Sponge and coral resilience,10.1371/journal.pone.0093211,12,38,13,S,-12.63694444,38,2,51,W,-38.0475,,
Differential responses of emergent intertidal coral reef fauna to a large-scale el-niño southern oscillation event: Sponge and coral resilience,10.1371/journal.pone.0093212,12,34,42,S,-12.57833333,37,58,59,W,-37.98305556,,
Echinometrin: A novel mast cell degranulating peptide from the coelomic liquid of Echinometra lucunter sea urchin,10.1016/j.peptides.2013.07.031,23,49,53,S,-23.83138889,45,31,18,W,-45.52166667,,
ATP-binding cassette transporters protect sea urchin gametes and embryonic cells against the harmful effects of ultraviolet light,10.1002/mrd.22283,7,9,,S,-7.15,34,47,,W,-34.78333333,,
"Proximate composition of marine invertebrates from tropical coastal waters, with emphasis on the relationship between nitrogen and protein contents [Composición proximal de invertebrados marinos de aguas costeras tropicales, con énfasis en la relación entre los contenidos de nitrógeno y proteína]",10.3856/vol42-issue2-fulltext-5,22,57,,S,-22.95,42,1,,W,-42.01666667,,
Increased algal dominance despite presence of Diadema antillarum populations on a Caribbean coral reef,10.5343/bms.2012.1015,20,23,45,N,20.39583333,87,18,52,W,-87.31444444,,
The impact of rising sea temperature on innate immune parameters in the tropical subtidal sea urchin Lytechinus variegatus and the intertidal sea urchin Echinometra lucunter,10.1016/j.marenvres.2013.09.005,23,49.53,,S,-23.8255,45,26.394,,W,-45.4399,3-6,
Direct relationship between osmotic and ionic conforming behavior and tissue water regulatory capacity in echinoids,10.1016/j.cbpa.2012.12.010,26,46,27,S,-26.77416667,48,36,2,W,-48.60055556,,2006-2012
Involvement of ABCB1 and ABCC1 transporters in sea urchin Echinometra lucunter fertilization,10.1002/mrd.22125,7,9,,S,-7.15,34,47,,W,-34.78333333,,
