"decimalLongitude","decimalLatitude","eclu"
-64.625,32.375,1
-80.125,27.375,1
-80.125,25.625,1
-80.375,24.875,1
-81.875,24.625,1
-81.375,24.625,1
-81.125,24.625,1
-97.625,24.375,1
-81.625,24.375,1
-81.375,24.375,1
-77.875,23.625,1
-75.875,23.625,1
-89.875,22.875,1
-91.375,22.125,1
-86.875,21.875,1
-84.625,21.875,1
-97.375,21.625,1
-87.875,21.625,1
-86.875,21.625,1
-97.125,21.375,1
-89.125,21.375,1
-88.875,21.375,1
-92.375,20.875,1
-86.875,20.875,1
-92.125,20.625,1
-91.875,20.625,1
-86.875,20.625,1
-92.125,20.375,1
-87.125,20.375,1
-91.875,20.125,1
-90.625,19.875,1
-87.375,19.875,1
-87.625,19.625,1
-81.375,19.375,1
-95.875,19.125,1
-91.625,18.875,1
-94.875,18.625,1
-91.625,18.625,1
-87.375,18.375,1
-69.625,18.375,1
-65.625,18.375,1
-65.375,18.375,1
-63.125,18.125,1
-67.125,17.875,1
-88.125,16.875,1
-62.375,16.875,1
-87.625,16.625,1
-61.625,16.375,1
-61.875,16.125,1
-61.625,16.125,1
-61.375,16.125,1
-86.375,15.875,1
-79.875,15.875,1
-81.125,14.375,1
-80.125,14.375,1
-81.375,13.375,1
-81.625,12.625,1
-81.875,12.125,1
-72.375,12.125,1
-72.125,12.125,1
-74.125,11.375,1
-60.875,11.125,1
-61.375,10.875,1
-75.625,10.375,1
-75.875,10.125,1
-75.625,10.125,1
-75.875,9.875,1
-79.625,9.625,1
-78.875,9.625,1
-75.875,9.625,1
-80.125,9.375,1
-79.875,9.375,1
-76.125,9.375,1
-35.125,-8.875,1
-35.625,-9.625,1
-37.875,-12.625,1
-38.625,-13.125,1
-38.375,-13.125,1
-38.875,-13.625,1
-38.875,-16.125,1
-38.625,-17.875,1
-29.375,-20.625,1
-41.875,-22.625,1
-41.875,-22.875,1
-44.625,-23.125,1
-44.375,-23.125,1
-43.625,-23.125,1
-42.125,-23.125,1
-46.125,-23.875,1
-46.375,-24.125,1
-48.125,-25.625,1
-48.625,-26.875,1
-48.375,-27.125,1
-48.375,-27.625,1
