"country","date_year","habitat","institutionID","scientificNameID","year","scientificName","superfamilyid","county","dropped","aphiaID","language","decimalLatitude","subclassid","type","phylumid","familyid","occurrenceStatus","basisOfRecord","terrestrial","fieldNotes","maximumDepthInMeters","id","day","order","organismQuantity","verbatimEventDate","infraorderid","sampleSizeUnit","island","dataset_id","locality","stateProvince","decimalLongitude","verbatimLocality","date_end","speciesid","occurrenceID","superfamily","verbatimLatitude","date_start","month","genus","organismQuantityType","samplingProtocol","parentEventID","eventDate","continent","eventID","brackish","superorder","scientificNameAuthorship","islandGroup","absence","samplingEffort","taxonRank","eventRemarks","superorderid","genusid","originalScientificName","marine","minimumDepthInMeters","subphylumid","infraclassid","vernacularName","institutionCode","countryCode","verbatimLongitude","date_mid","infraclass","class","infraorder","nomenclaturalCode","orderid","datasetName","geodeticDatum","taxonomicStatus","kingdom","waterBody","specificEpithet","recordedBy","classid","phylum","depth","previousIdentifications","species","locationID","verbatimCoordinates","subphylum","subclass","datasetID","family","kingdomid","sampleSizeValue","node_id","sss","shoredistance","sst","bathymetry","municipality","individualCount","fieldNumber","catalogNumber","collectionCode","dateIdentified","preparations","identifiedBy","disposition","collectionID","dynamicProperties","associatedReferences","bibliographicCitation","subspecies","verbatimDepth","coordinatePrecision","subspeciesid","occurrenceRemarks","locationRemarks","modified","associatedMedia","coordinateUncertaintyInMeters","rightsHolder","locationAccordingTo","recordNumber","georeferencedDate","georeferencedBy","georeferenceRemarks","license","ownerInstitutionCode","identificationVerificationStatus","identificationRemarks","georeferenceVerificationStatus","accessRights","references","higherGeography","nameAccordingTo","infraspecificEpithet","typeStatus","georeferenceSources","footprintWKT","startDayOfYear","higherGeographyID","verbatimSRS","verbatimCoordinateSystem","eventTime","otherCatalogNumbers","georeferenceProtocol","sex","lifeStage"
"Colombia",2006,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2006","Echinometra lucunter",510604,"Providencia",FALSE,213380,"es",13.3672333,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",12,"00af16fc-4fbc-44b0-8c14-d288790930c7","29","Camarodonta","1","2006/09/29",510534,"metros cuadrados","Providencia","fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Reserva de Biosfera Sea Flower, The Bar Estación BAR 1","Archipiélago de San Andrés, Providencia y Santa Catalina",-81.3969667,"The Bar 1",1.159488e+12,213380,"INVEMAR:SIMAC:InvVag:BAR-1:2006:S1:001757","Odontophora","13° 22' 2"" N",1.159488e+12,"09","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:BAR","2006-09-29","SA","INVEMAR:SIMAC:InvVag:BAR-1:2006-09-29",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago de San Andrés, Providencia y Santa Catalina",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad somero.",149855,179659,"Echinometra lucunter",TRUE,9,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","81° 23' 49"" W",1.159488e+12,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2006","WGS84","Válido","Animalia","Mar Caribe","lucunter","Nicasio Howard | Katherine Bernal",123082,"Echinodermata",10.5,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","81° 23' 49"" W 13° 22' 2"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2006","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.74,917,28.14,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2002,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2002","Echinometra lucunter",510604,"Acandí",FALSE,213380,"es",8.639,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",3,"00c1f8e7-5751-4f43-84d4-c9976850b378","04","Camarodonta","4","2002/07/04",510534,"metros cuadrados",NA,"fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Ensenada Capurganá Estación CAP 1","Chocó",-77.3446666,"Capurganá 1",1025740800000,213380,"INVEMAR:SIMAC:InvVag:CAP-1:2002:S3:000459","Odontophora","8° 38' 20.4"" N",1025740800000,"07","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:CAP","2002-07-04","SA","INVEMAR:SIMAC:InvVag:CAP-1:2002-07-04",FALSE,"Echinacea","(Linnaeus, 1758)",NA,FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad somera.",149855,179659,"Echinometra lucunter",TRUE,2,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","77° 20' 40.7"" W",1025740800000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2002","WGS84","Válido","Animalia","Mar Caribe","lucunter","Alberto Rodríguez Ramirez | Nelson Manrique",123082,"Echinodermata",2.5,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","77° 20' 40.7"" W 8° 38' 20.4"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2002","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",29.14,160,28.32,-7,"Capurganá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2002,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2002","Echinometra lucunter",510604,"Acandí",FALSE,213380,"es",8.6721666,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",12,"0170e598-29bb-4d1d-ac6c-22f200d287be","29","Camarodonta","1","2002/06/29",510534,"metros cuadrados",NA,"fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Ensenada Sapzurro, Cabo Tiburón M Estación CTI 2","Chocó",-77.3566666,"Cabo Tiburón M",1025308800000,213380,"INVEMAR:SIMAC:InvVag:CTI-2:2002:M1:000428","Odontophora","8° 40' 19.7"" N",1025308800000,"06","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:CTI","2002-06-29","SA","INVEMAR:SIMAC:InvVag:CTI-2:2002-06-29",FALSE,"Echinacea","(Linnaeus, 1758)",NA,FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad medio.",149855,179659,"Echinometra lucunter",TRUE,9,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","77° 21' 23.9"" W",1025308800000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2002","WGS84","Válido","Animalia","Mar Caribe","lucunter","Raul Navas Camacho | Nelson Manrique",123082,"Echinodermata",10.5,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","77° 21' 23.9"" W 8° 40' 19.7"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2002","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",29.45,205,28.33,9,"Capurganá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2011,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2011","Echinometra lucunter",510604,"Santa Marta",FALSE,213380,"es",11.3298611,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",17,"0187f423-04c5-42ad-b443-e4367b331a24","09","Camarodonta","3","2011/11/09",510534,"metros cuadrados",NA,"fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Parque Nacional Natural Tayrona, Bahía Chengue C2 Estación CHE 2","Magdalena",-74.1286111,"Chengue C2",1320796800000,213380,"INVEMAR:SIMAC:InvVag:CHE-2:2011:S4:002711","Odontophora","11° 19' 47.4"" N",1320796800000,"11","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:CHE","2011-11-09","SA","INVEMAR:SIMAC:InvVag:CHE-2:2011-11-09",FALSE,"Echinacea","(Linnaeus, 1758)",NA,FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Niveles profundidad somero, intermedio, profundo.",149855,179659,"Echinometra lucunter",TRUE,3,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","74° 7' 42.9"" W",1320796800000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2011","WGS84","Válido","Animalia","Mar Caribe","lucunter","Johanna Calle Triviño | Cindy Melissa Montero",123082,"Echinodermata",10,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","74° 7' 42.9"" W 11° 19' 47.4"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2011","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.36,49,27.31,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2011,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2011","Echinometra lucunter",510604,"San Andrés",FALSE,213380,"es",12.5131333,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",18,"01a4e37b-8064-47d6-895c-1a8643f1b6d4","01","Camarodonta","5","2011/09/01",510534,"metros cuadrados","San Andrés Isla","fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Reserva de Biosfera Sea Flower, Wild Life Estación WLF 1","Archipiélago de San Andrés, Providencia y Santa Catalina",-81.7312333,"Wild Life",1314835200000,213380,"INVEMAR:SIMAC:InvVag:WLF-1:2011:S3:002700","Odontophora","12° 30' 47.2"" N",1314835200000,"09","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:WLF","2011-09-01","SA","INVEMAR:SIMAC:InvVag:WLF-1:2011-09-01",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago de San Andrés, Providencia y Santa Catalina",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Niveles profundidad somero, intermedio, profundo. Estación proyecto SIMAC. Monitoreo de temperatura en la estación de nivel medio.",149855,179659,"Echinometra lucunter",TRUE,3,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","81° 43' 52.4"" W",1314835200000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2011","WGS84","Válido","Animalia","Mar Caribe","lucunter","Luis Alfonso Gómez | Tomás López Londoño",123082,"Echinodermata",10.5,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","81° 43' 52.4"" W 12° 30' 47.2"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2011","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.71,124,28.18,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2010,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2010","Echinometra lucunter",510604,"Cartagena de Indias",FALSE,213380,"es",9.7905833,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",7,"02640d7c-b596-41ff-b066-3882630a1e37","20","Camarodonta","1","2010/11/20",510534,"metros cuadrados",NA,"fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste Isla Mucura Minalta Estación MIN 1","Bolívar",-75.9233889,"Minalta",1290211200000,213380,"INVEMAR:SIMAC:InvVag:MIN-1:2010:S3:002528","Odontophora","9° 47' 26"" N",1290211200000,"11","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:MIN","2010-11-20","SA","INVEMAR:SIMAC:InvVag:MIN-1:2010-11-20",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago Corales del Rosario y San Bernardo",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie",NA,149855,179659,"Echinometra lucunter",TRUE,6,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","75° 55' 24.2"" W",1290211200000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2010","WGS84","Válido","Animalia","Mar Caribe","lucunter","Kelly Gómez Campo | Raul Navas Camacho",123082,"Echinodermata",6.5,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","75° 55' 24.2"" W 9° 47' 26"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2010","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",34.83,5266,28.83,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2010,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2010","Echinometra lucunter",510604,"Cartagena de Indias",FALSE,213380,"es",10.2341944,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",19,"02f06ed5-9f85-414e-ac0b-4148b0f65c8a","10","Camarodonta","2","2010/08/10",510534,"metros cuadrados","El Tesoro","fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Parque Nacional Natural Corales del Rosario y San Bernardo, El Tesoro Estación TES 1","Bolívar",-75.7464444,"Tesoro 1",1281398400000,213380,"INVEMAR:SIMAC:InvVag:TES-1:2010:M5:002473","Odontophora","10° 14' 3"" N",1281398400000,"08","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:TES","2010-08-10","SA","INVEMAR:SIMAC:InvVag:TES-1:2010-08-10",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago Corales del Rosario y San Bernardo",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad somero, medio, profundo. Estación proyecto SIMAC. Monitoreo de temperatura en la parcela de profundidad media.",149855,179659,"Echinometra lucunter",TRUE,5,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","75° 44' 47.1"" W",1281398400000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2010","WGS84","Válido","Animalia","Mar Caribe","lucunter","Kelly Gómez Campo | Cindy Melissa Montero",123082,"Echinodermata",12,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","75° 44' 47.1"" W 10° 14' 3"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2010","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.2,631,28.69,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2006,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2006","Echinometra lucunter",510604,"Cartagena de Indias",FALSE,213380,"es",10.2341944,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",19,"038f96a1-6928-418c-8a02-f9f7dfac176c","06","Camarodonta","1","2006/02/06",510534,"metros cuadrados","El Tesoro","fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Parque Nacional Natural Corales del Rosario y San Bernardo, El Tesoro Estación TES 1","Bolívar",-75.7464444,"Tesoro 1",1.139184e+12,213380,"INVEMAR:SIMAC:InvVag:TES-1:2006:M1:001562","Odontophora","10° 14' 3"" N",1.139184e+12,"02","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:TES","2006-02-06","SA","INVEMAR:SIMAC:InvVag:TES-1:2006-02-06",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago Corales del Rosario y San Bernardo",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad somero, medio, profundo. Estación proyecto SIMAC. Monitoreo de temperatura en la parcela de profundidad media.",149855,179659,"Echinometra lucunter",TRUE,5,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","75° 44' 47.1"" W",1.139184e+12,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2006","WGS84","Válido","Animalia","Mar Caribe","lucunter","Diego Duque | Carolina Gutierrez",123082,"Echinodermata",12,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","75° 44' 47.1"" W 10° 14' 3"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2006","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.2,631,28.69,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2008,"Area coralina","800250062-0","urn:lsid:marinespecies.org:taxname:213380","2008","Echinometra lucunter",510604,"Cartagena de Indias",FALSE,213380,"es",10.2341944,149854,"Evento",1806,179653,"present","HumanObservation",FALSE,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.",19,"03e5734e-6f5c-4e84-b055-4146f94d0f29","30","Camarodonta","1","2008/08/30",510534,"metros cuadrados","El Tesoro","fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce","Parque Nacional Natural Corales del Rosario y San Bernardo, El Tesoro Estación TES 1","Bolívar",-75.7464444,"Tesoro 1",1220054400000,213380,"INVEMAR:SIMAC:InvVag:TES-1:2008:S1:002027","Odontophora","10° 14' 3"" N",1220054400000,"08","Echinometra","Individuos","Protocolo SIMAC - Abundancia de invertebrados vágiles","INVEMAR:SIMAC:InvVag:TES","2008-08-30","SA","INVEMAR:SIMAC:InvVag:TES-1:2008-08-30",FALSE,"Echinacea","(Linnaeus, 1758)","Archipiélago Corales del Rosario y San Bernardo",FALSE,"5 transectos X 3 parcelas= 15 transectos","Especie","Nivel profundidad somero, medio, profundo. Estación proyecto SIMAC. Monitoreo de temperatura en la parcela de profundidad media.",149855,179659,"Echinometra lucunter",TRUE,5,148744,510517,"Erizo","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","CO","75° 44' 47.1"" W",1220054400000,"Carinacea","Echinoidea","Echinidea","ICZN",510518,"Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2008","WGS84","Válido","Animalia","Mar Caribe","lucunter","Laura Muñoz Escobar",123082,"Echinodermata",12,"Echinometra lucunter","Echinometra lucunter","http://marineregions.org/mrgid/25303","75° 44' 47.1"" W 10° 14' 3"" N","Echinozoa","Euechinoidea","INVEMAR:SIMAC:2008","Echinometridae",2,"20","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",35.2,631,28.69,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama",1972,NA,NA,"urn:lsid:marinespecies.org:taxname:213380","1972","Echinometra lucunter",510604,NA,FALSE,213380,NA,9.55000019073,149854,NA,1806,179653,NA,"PreservedSpecimen",FALSE,NA,NA,"0488c003-c298-49e3-9eaf-ceba4a7fae4f","19","Camarodonta",NA,NA,510534,NA,NA,"89e23fc8-3f61-4480-9de3-358fe6eefe0b","San Blas Islands, Pico Feo Island",NA,-78.9833297729,NA,72489600000,213380,NA,"Odontophora",NA,72489600000,"4","Echinometra",NA,NA,NA,"1972-04-19T12:00:00Z",NA,NA,FALSE,"Echinacea","(Linnaeus)",NA,FALSE,NA,NA,NA,149855,179659,"Echinometra lucunter",TRUE,NA,148744,510517,NA,"USNM",NA,NA,72489600000,"Carinacea","Echinoidea","Echinidea",NA,510518,NA,NA,NA,"Animalia","North Atlantic Ocean",NA,"C. Dawson & M. Jones",123082,"Echinodermata",NA,NA,"Echinometra lucunter",NA,NA,"Echinozoa","Euechinoidea",NA,"Echinometridae",2,NA,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.13,82,28.23,-22,NA,"3.0",NA,"E18804.326309","Invertebrate Zoology: Echinoderms",NA,"Dry","Pawson, Dave L.",NA,NA,"observedindividualcount=3;","National Museum of Natural History, Smithsonian Institution","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
