Species,Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
lyva,Assessment of sea urchin spawning induction and oocyte conservation applied to ecotoxicological assays,https://doi.org/10.1590/S2675-28242020068288,26,44,41.09,S,-26.74474722,48,38,13.62,W,-48.63711667,,2012-2018
eclu,Assessment of sea urchin spawning induction and oocyte conservation applied to ecotoxicological assays,https://doi.org/10.1590/S2675-28242020068288,26,44,41.09,S,-26.74474722,48,38,13.62,W,-48.63711667,,2012-2019
eclu,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19366,18,16,51.4,N,18.28094444,65,17,12.21,W,-65.286725,,2013
eclu,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19367,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,,2013
eclu,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19368,18,18,55.29,N,18.31535833,65,19,5.82,W,-65.31828333,,2013
eclu,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19369,18,18,15.7,N,18.30436111,65,18,42.27,W,-65.31174167,,2013
lyva,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19370,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,,2013
trve,Understanding trophic relationships among Caribbean sea urchins,http://dx.doi.org/10.15517/rbt.v64i2.19371,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,,2013
lyva,Echinodermata in ecotoxicological tests: maintenance and sensitivity,https://doi.org/10.1590/S1679-87592016100106401,26,44,41.09,S,-26.74474722,48,38,13.62,W,-48.63711667,,
eclu,Echinodermata in ecotoxicological tests: maintenance and sensitivity,https://doi.org/10.1590/S1679-87592016100106402,26,44,41.09,S,-26.74474722,48,38,13.62,W,-48.63711667,,
lyva,The reproductive cycle of the sea urchin Lytechinus variegatus (Echinodermata: Echinoidea) in southern Brazil,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442015000600243&lang=pt,25,20,26,S,-25.34055556,48,5,36,W,-48.09333333,,2000-2001
lyva,EVALUACIÓN DE LA TOXICIDAD AGUDA DE UN FLUIDO DE EXPLORACIÓN OFFSHORE EN LA FECUNDACIÓN DEL ERIZO DE MAR LYTECHINUS VARIEGATUS*,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612014000200008&lang=pt,11,19,0,N,11.31666667,74,7,0,W,-74.11666667,,
lyva,"Proximate composition of marine invertebrates from tropical coastal waters, with emphasis on the relationship between nitrogen and protein contents",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000200006&lang=pt,22,57,0,S,-22.95,42,1,0,W,-42.01666667,,
eclu,"Proximate composition of marine invertebrates from tropical coastal waters, with emphasis on the relationship between nitrogen and protein contents",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000200006&lang=pt,22,57,0,S,-22.95,42,1,0,W,-42.01666667,,
lyva,"Effects of the secondary metabolites from Canistrocarpus cervicornis (Dictyotales, Phaeophyceae) on fertilization and early development of the sea urchin Lytechinus",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2013000200008&lang=pt,23,0,34,S,-23.00944444,44,26,10,W,-44.43611111,,2006
eclu,"ERIZOS DE MAR COMO CONTROL BIOLÓGICO DEL &quot;FOULING&quot; EN UN CULTIVO DE NODIPECTEN NODOSUS EN EL ÁREA DE SANTA MARTA, CARIBE COLOMBIANO*",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612011000200001&lang=pt,11,20,0,N,11.33333333,74,10,0,W,-74.16666667,,2008-2009
lyva,"ERIZOS DE MAR COMO CONTROL BIOLÓGICO DEL &quot;FOULING&quot; EN UN CULTIVO DE NODIPECTEN NODOSUS EN EL ÁREA DE SANTA MARTA, CARIBE COLOMBIANO*",http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-97612011000200001&lang=pt,11,20,0,N,11.33333333,74,10,0,W,-74.16666667,,2008-2009
lyva,"Desarrollo, supervivencia y crecimiento del erizo Lytechinus variegatus (Lamarck, 1816) (Echinodermata: Echinoidea) alimentado con microalgas a dos salinidades y temperaturas diferentes",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000100006&lang=pt,10,89,0,N,11.48333333,64,89,0,W,-65.48333333,,2003
eclu,Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae),http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0370-39082020000300759&lang=pt,10,41,20.7,N,10.68908333,63,52,29.11,W,-63.87475278,,2016
eclu,Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae),http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0370-39082020000300759&lang=pt,15,58,17.92,N,15.97164444,86,28,14.36,W,-86.47065556,,2015
eclu,Isolation and characterization of 17 polymorphic microsatellite loci for a sea urchin (Echinometra lucunter: Echinometridae),http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0370-39082020000300759&lang=pt,17,57,8.61,N,17.95239167,67,3,24.3,W,-67.05675,,2016
eclu,Preliminary molecular characterization of a proinflammatory and nociceptive molecule from the Echinometra lucunter spines extracts,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992017000100318&lang=pt,23,49,53,S,-23.83138889,45,31,18,W,-45.52166667,,
eclu,Ciclo gametogénico del erizo marino Echinometra lucunter (Echinometra: Echinoidea) en el Noriente de Venezuela,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442015000600273&lang=pt,10,27,30,N,10.45833333,64,1,52,W,-64.03111111,,2010-2011
eclu,Ciclo gametogénico del erizo marino Echinometra lucunter (Echinometra: Echinoidea) en el Noriente de Venezuela,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442015000600273&lang=pt,10,41,38,N,10.69388889,63,52,33,W,-63.87583333,,2010-2011
eclu,Dieta del erizo negro Echinometra lucunter (Echinometra: Echinoidea) en el Nororiente de Venezuela,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442015000600233&lang=pt,10,27,30,N,10.45833333,64,1,52,W,-64.03111111,,2010-2011
eclu,"Cathepsin B/X is secreted by Echinometra lucunter sea urchin spines, a structure rich in granular cells and toxins",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992013000100318&lang=pt,23,49,53,S,-23.83138889,45,31,18,W,-45.52166667,,
eclu,Osmolality and ions of the perivisceral coelomic fluid of the intertidal sea urchin Echinometra lucunter (Echinodermata: Echinoidea) upon salinity and ionic challenges,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702011000400009&lang=pt,26,46,0,S,-26.76666667,43,38,0,W,-43.63333333,,2002
eclu,Anti-mitotic activity towards sea urchin eggs of dichloromethane fraction obtained from Allamanda schottii Pohl (Apocynaceae),http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000300002&lang=pt,7,1,55.55,S,-7.032097222,34,49,14.96,W,-34.82082222,,
eclu,Reproductive biology of Echinometra lucunter (Echinodermata: Echinoidea) in a northeast Brazilian sandstone reef,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652009000100007&lang=pt,8,25.408,,S,-8.423466667,34,58.398,,W,-34.9733,,2004-2005
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-2.871720497,,,,,-40.95638328,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.213660569,,,,,-39.26833211,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.395762421,,,,,-39.0145539,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.5384748,,,,,-38.81609826,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.68371668,,,,,-38.63369213,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.717053008,,,,,-38.50538827,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-4.5192982,,,,,-37.69615732,,
lyva,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-4.639662288,,,,,-37.47659357,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.213660569,,,,,-39.26833211,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.169963375,,,,,-39.36287399,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.395762421,,,,,-39.0145539,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.504922487,,,,,-38.89944131,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.5384748,,,,,-38.81609826,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.68371668,,,,,-38.63369213,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-3.717053008,,,,,-38.50538827,,
eclu,Biota marinha da coasta oeste do Ceará,"Mattheews-Cascon, H.; Lotufo, Tito M. C. 2006 - IBAMA/MMA",,,,,-4.639662288,,,,,-37.47659357,,
