Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
Near-future temperature reduces Mg/Ca ratios in the major skeletal components of the common subtropical sea urchin Lytechinus variegatus,10.1016/j.jembe.2018.08.007,29,45,,N,29.75,85,24,,W,-85.4,1-2,06/2014
"Brothers C.J., Van Der Pol W.J., Morrow C.D., Hakim J.A., Koo H., McClintock J.B.",10.1098/rspb.2018.0340,29,45,,N,29.75,85,24,,W,-85.4,1-2,05/2015
"The gut microbiome of the sea urchin, Lytechinus variegatus, from its natural habitat demonstrates selective attributes of microbial taxa and predictive metabolic profiles",10.1093/femsec/fiw146,29.8,,,N,29.8,85.36,,,W,-85.36,,10/2014
"The effects of climate-induced elevated seawater temperature on the covering behavior, righting response, and Aristotle's lantern reflex of the sea urchin Lytechinus variegatus",10.1016/j.jembe.2015.02.019,29,45,,N,29.75,85,24,,W,-85.4,,08/2013
"An abundance of Epsilonproteobacteria revealed in the gut microbiome of the laboratory cultured sea urchin, Lytechinus variegatus",10.3389/fmicb.2015.01047,29.8,,,N,29.8,85.36,,,W,-85.36,,04/2013
"Proximate composition of marine invertebrates from tropical coastal waters, with emphasis on the relationship between nitrogen and protein contents [Composición proximal de invertebrados marinos de aguas costeras tropicales, con énfasis en la relación entre los contenidos de nitrógeno y proteína]",10.3856/vol42-issue2-fulltext-5,22,57,,S,-22.95,42,1,,W,-42.01666667,,
Exposure to extreme hypercapnia under laboratory conditions does not impact righting and covering behavior of juveniles of the common sea urchin Lytechinus variegatus,10.1080/10236244.2013.800759,29,,,N,29,85,,,W,-85,,
"Effects of the secondary metabolites from Canistrocarpus cervicornis (Dictyotales, Phaeophyceae) on fertilization and early development of the sea urchin Lytechinus variegates [Efectos de los metabolitos secundarios de canistrocarpus cervicornis (dictyotales, phaeophyceae) sobre la fertilización y desarrollo embrionario temprano del erizo del mar Lytechinus variegatus]",10.3856/vol41-issue2-fulltext-8,23,0,34,S,-23.00944444,44,26,10,W,-44.43611111,,
Field and laboratory growth estimates of the sea urchin Lytechinus variegatus in Bermuda,https://www.researchgate.net/publication/286279879_Field_and_laboratory_growth_estimates_of_the_sea_urchin_Lytechinus_variegatus_in_Bermuda,32,10,22.48,N,32.17291111,64,44,12.97,W,-64.73693611,,14/11/2005
Field and laboratory growth estimates of the sea urchin Lytechinus variegatus in Bermuda,https://www.researchgate.net/publication/286279879_Field_and_laboratory_growth_estimates_of_the_sea_urchin_Lytechinus_variegatus_in_Bermuda,32,22,11.16,N,32.36976667,64,40,14.6,W,-64.67072222,,17/11/2005
"Effect of Feed Protein and Carbohydrate Levels on Feed Intake, Growth, and Gonad Production of the Sea Urchin, Lytechinus variegatus",10.1111/j.1749-7345.2012.00562.x,30,,,N,30,85.5,,,W,-85.5,,
"The Effect of Vitamins on Weight Gain and Organ Production in the Sea Urchin, Lytechinus variegatus (Echinodermata: Echinoidea)",10.1111/j.1749-7345.2011.00543.x,30,,,N,30,85.5,,,W,-85.5,,
Factors leading to cannibalism in Lytechinus variegatus (Echinodermata: Echinoidia) held in intensive culture,10.1016/j.jembe.2011.01.018,30,,,N,30,85.5,,,W,-85.5,,
"Sea urchins as biological control of ""fouling"" in a culture of Nodipecten nodosus (Linnaeus, 1758) in the Santa Marta area, Colombian Caribbean [Erizos de mar como control biológico del ""fouling"" en un cultivo de nodipecten nodosus (linnaeus, 1758) en el área de Santa Marta, Caribe Colombiano]",https://www.researchgate.net/publication/317492056_Sea_urchins_as_biological_control_of_fouling_in_a_culture_of_Nodipecten_nodosus_Linnaeus_1758_in_the_Santa_Marta_area_Colombian_Caribbean,11,20,,N,11.33333333,74,10,,W,-74.16666667,,
Molecular analysis of gut microflora in captive-raised sea urchins (Lytechinus variegatus),10.1111/j.1749-7345.2010.00423.x,30,,,N,30,85.5,,,W,-85.5,,
"The effect of dietary selenium on weight gain and gonad production in the sea urchin, Lytechinus variegatus",10.1111/j.1749-7345.2010.00410.x,30,,,N,30,85.5,,,W,-85.5,,10/2004
"Reproductive activity of the sea urchins Lytechinus variegates and Echinometra lucunter (Echinodermata: Echinoidea) in relation to environmental factors at the Gulf of Cariaco, Venezuela [Actividad reproductiva de los erizos Lytechinus variegatus y Echinometra lucunter (Echinodermata: Echinoidea) en relación con factores ambientales en el Golfo de Cariaco, Venezuela]",https://www.researchgate.net/publication/288630723_Reproductive_activity_of_the_sea_urchins_Lytechinus_variegates_and_Echinometra_lucunter_Echinodermata_Echinoidea_in_relation_to_environmental_factors_at_the_Gulf_of_Cariaco_Venezuela,10,26,56,N,10.44888889,64,2,,W,-64.03333333,,01/01/1993-04/1994
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,5,N,19.20138889,96,4,10,W,-96.06944444,,
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,5,N,19.20138889,96,4,5,W,-96.06805556,,
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,,N,19.2,96,4,10,W,-96.06944444,,
