"decimalLongitude","decimalLatitude","lyva"
-76.625,34.625,1
-76.625,34.375,1
-78.625,33.875,1
-76.625,33.875,1
-77.375,33.625,1
-79.125,33.375,1
-78.625,33.375,1
-77.875,33.375,1
-77.625,33.375,1
-79.125,33.125,1
-79.375,32.875,1
-79.125,32.875,1
-78.625,32.875,1
-79.625,32.625,1
-78.875,32.625,1
-78.625,32.625,1
-79.875,32.375,1
-79.625,32.375,1
-79.125,32.375,1
-78.875,32.375,1
-64.625,32.375,1
-79.125,32.125,1
-80.875,31.625,1
-80.125,31.625,1
-80.875,31.375,1
-81.375,30.875,1
-80.625,30.875,1
-81.375,30.625,1
-81.125,30.625,1
-80.375,30.625,1
-81.375,30.375,1
-81.125,30.375,1
-80.875,30.375,1
-80.375,30.375,1
-87.875,29.875,1
-87.375,29.875,1
-87.125,29.875,1
-86.125,29.875,1
-85.375,29.875,1
-80.375,29.875,1
-87.375,29.625,1
-85.625,29.625,1
-83.625,29.625,1
-80.625,29.625,1
-80.375,29.625,1
-85.375,29.375,1
-80.875,29.375,1
-80.375,29.375,1
-85.125,29.125,1
-83.125,29.125,1
-85.375,28.875,1
-84.875,28.875,1
-80.375,28.875,1
-83.375,28.625,1
-80.375,28.625,1
-84.375,28.375,1
-80.375,28.375,1
-94.375,28.125,1
-94.125,28.125,1
-84.125,28.125,1
-83.125,28.125,1
-82.875,28.125,1
-80.125,28.125,1
-93.625,27.875,1
-84.375,27.875,1
-83.625,27.875,1
-83.375,27.875,1
-80.375,27.875,1
-83.875,27.625,1
-83.375,27.625,1
-83.125,27.625,1
-82.875,27.625,1
-82.625,27.625,1
-80.125,27.625,1
-82.625,27.375,1
-80.125,27.375,1
-83.375,26.875,1
-82.625,26.875,1
-82.375,26.875,1
-76.875,26.625,1
-83.875,26.375,1
-83.625,26.375,1
-83.375,26.375,1
-82.875,26.375,1
-82.625,26.375,1
-82.375,26.375,1
-82.125,26.375,1
-81.875,26.375,1
-82.125,26.125,1
-80.125,26.125,1
-83.375,25.875,1
-82.625,25.875,1
-82.125,25.875,1
-80.125,25.625,1
-83.625,25.375,1
-83.125,25.375,1
-82.875,25.375,1
-82.125,25.375,1
-81.875,25.375,1
-81.625,25.375,1
-79.375,25.375,1
-83.125,25.125,1
-81.875,25.125,1
-81.375,25.125,1
-80.625,25.125,1
-83.125,24.875,1
-81.125,24.875,1
-80.875,24.875,1
-80.375,24.875,1
-83.125,24.625,1
-82.625,24.625,1
-81.875,24.625,1
-81.625,24.625,1
-81.375,24.625,1
-81.125,24.625,1
-77.625,24.625,1
-97.625,24.375,1
-81.375,24.375,1
-74.625,24.125,1
-88.625,23.625,1
-89.875,22.625,1
-74.625,22.625,1
-89.625,22.375,1
-86.875,22.375,1
-86.875,22.125,1
-86.875,21.875,1
-86.625,21.875,1
-84.625,21.875,1
-90.125,21.375,1
-89.125,21.375,1
-88.875,21.375,1
-86.375,21.125,1
-90.875,20.875,1
-91.875,19.875,1
-90.625,19.875,1
-96.125,19.375,1
-95.875,19.125,1
-91.625,18.875,1
-91.375,18.875,1
-72.625,18.875,1
-94.875,18.625,1
-91.625,18.625,1
-87.625,18.625,1
-63.125,18.125,1
-77.375,17.875,1
-76.875,17.875,1
-67.125,17.875,1
-62.625,17.125,1
-88.125,16.875,1
-82.125,16.875,1
-61.625,16.375,1
-61.875,16.125,1
-61.625,16.125,1
-79.875,15.875,1
-60.875,14.375,1
-81.375,13.375,1
-81.625,12.625,1
-72.125,12.375,1
-71.875,12.375,1
-81.875,12.125,1
-72.375,12.125,1
-72.125,12.125,1
-68.875,12.125,1
-68.125,12.125,1
-72.625,11.875,1
-72.375,11.875,1
-72.875,11.625,1
-74.125,11.375,1
-73.875,11.375,1
-68.125,10.875,1
-64.125,10.875,1
-62.875,10.875,1
-60.125,10.875,1
-66.125,10.625,1
-61.625,10.625,1
-75.625,10.375,1
-64.375,10.375,1
-75.875,10.125,1
-75.625,10.125,1
-75.875,9.875,1
-79.625,9.625,1
-78.875,9.625,1
-75.875,9.625,1
-79.875,9.375,1
-76.125,9.375,1
-82.125,9.125,1
-58.625,8.625,1
-58.625,8.125,1
-57.625,7.625,1
-57.375,7.625,1
-57.125,6.875,1
-55.125,6.625,1
-40.625,-2.375,1
-39.375,-3.125,1
-39.125,-3.375,1
-34.875,-8.375,1
-35.625,-9.625,1
-38.875,-13.375,1
-38.875,-13.625,1
-40.125,-20.875,1
-40.375,-21.375,1
-40.375,-21.875,1
-41.875,-22.875,1
-44.625,-23.125,1
-44.375,-23.125,1
-43.625,-23.125,1
-43.125,-23.125,1
-42.125,-23.125,1
-44.875,-23.375,1
-44.625,-23.375,1
-45.125,-23.625,1
-45.625,-23.875,1
-45.125,-23.875,1
-48.375,-25.625,1
-48.375,-27.125,1
-48.375,-27.625,1
