"country","date_year","scientificNameID","year","scientificName","superfamilyid","individualCount","dropped","aphiaID","decimalLatitude","subclassid","phylumid","familyid","basisOfRecord","terrestrial","id","day","order","infraorderid","dataset_id","decimalLongitude","collectionCode","date_end","speciesid","superfamily","date_start","month","genus","bibliographicCitation","eventDate","brackish","superorder","absence","superorderid","genusid","originalScientificName","marine","subphylumid","infraclassid","institutionCode","date_mid","infraclass","class","infraorder","orderid","waterBody","kingdom","recordedBy","classid","phylum","species","coordinatePrecision","subphylum","subclass","family","kingdomid","node_id","sss","shoredistance","sst","bathymetry","catalogNumber","occurrenceStatus","maximumDepthInMeters","occurrenceID","collectionID","eventID","minimumDepthInMeters","depth","locality","identifiedBy","dynamicProperties","associatedReferences","stateProvince","scientificNameAuthorship","preparations","subspecies","subspeciesid","fieldNumber","verbatimDepth","occurrenceRemarks","county","modified","dateIdentified","specificEpithet","habitat","institutionID","organismID","samplingProtocol","continent","coordinateUncertaintyInMeters","eventRemarks","taxonID","vernacularName","locationRemarks","countryCode","datasetName","lifeStage","locationID","datasetID","associatedSequences","language","type","fieldNotes","organismQuantity","verbatimEventDate","sampleSizeUnit","verbatimLocality","verbatimLatitude","organismQuantityType","parentEventID","islandGroup","samplingEffort","taxonRank","verbatimLongitude","nomenclaturalCode","geodeticDatum","taxonomicStatus","previousIdentifications","verbatimCoordinates","sampleSizeValue","island","infraspecificEpithet","recordNumber","higherGeography","typeStatus","georeferenceSources","rightsHolder","disposition","otherCatalogNumbers","sex","locationAccordingTo","georeferencedBy","ownerInstitutionCode","higherGeographyID","georeferenceProtocol","georeferencedDate","georeferenceRemarks","license","identificationVerificationStatus","identificationRemarks","verbatimSRS","georeferenceVerificationStatus","verbatimCoordinateSystem","accessRights","footprintWKT","municipality","taxonRemarks","materialSampleID","references","minimumElevationInMeters","maximumElevationInMeters","eventTime"
"United States",1975,"urn:lsid:marinespecies.org:taxname:367850","1975","Lytechinus variegatus",510604,"1.0",FALSE,367850,28.4832992554,149854,1806,123179,"HumanObservation",FALSE,"00157701-f3aa-4dea-b1b0-bf955b461c7a","25","Camarodonta",510534,"982d4bc2-c3f1-4018-befd-ed34b101e4b1",-86.3499984741,"DAUPHIN ISLAND MAFLA OCS data",175478400000,367850,"Odontophora",175478400000,"7","Lytechinus","US National Oceanographic Data Center. 2011. South Texas Outer Continental Shelf (STOCS) and Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf study benthic organism sampling programs 1974-1978. US National Oceanographic Data Center. Silver Spring, Maryland, USA. Retrieve from http://obisusa.nbii.gov.","1975-07-25T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"BOEMRE",175478400000,"Carinacea","Echinoidea","Echinidea",510518,"Gulf of Mexico","Animalia","T.S. HOPKINS",123082,"Echinodermata","Lytechinus variegatus","10000.0","Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.32,163430,25.56,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1967,"urn:lsid:marinespecies.org:taxname:367850","1967","Lytechinus variegatus",510604,"2.0",FALSE,367850,27.6170005798,149854,1806,123179,"PreservedSpecimen",FALSE,"009b344e-de76-4874-b982-8c311f0c6e6a",NA,"Camarodonta",510534,"89e23fc8-3f61-4480-9de3-358fe6eefe0b",-83.1169967651,"Invertebrate Zoology: Echinoderms",-78969600000,367850,"Odontophora",-78969600000,NA,"Lytechinus","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","1967-07-02T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"USNM",-78969600000,"Carinacea","Echinoidea","Echinidea",510518,"North Atlantic Ocean","Animalia","Florida Department of Natural Resources",123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.94,34844,24.64,22,"E15096.322281",NA,18,NA,NA,NA,18,18,"18 Miles West Of Egmont Key","Serafy, D. K.","observedindividualcount=2;","National Museum of Natural History, Smithsonian Institution","Florida","(Lamarck)","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1967,"urn:lsid:marinespecies.org:taxname:367850","1967","Lytechinus variegatus",510604,"2.0",FALSE,367850,26.3999996185,149854,1806,123179,"PreservedSpecimen",FALSE,"00cafdac-e82d-4c94-8d46-856f093959dd",NA,"Camarodonta",510534,"89e23fc8-3f61-4480-9de3-358fe6eefe0b",-82.9670028687,"Invertebrate Zoology: Echinoderms",-78969600000,367850,"Odontophora",-78969600000,NA,"Lytechinus","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","1967-07-02T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"USNM",-78969600000,"Carinacea","Echinoidea","Echinidea",510518,"North Atlantic Ocean","Animalia","Florida Department of Natural Resources",123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",36.08,76572,25.51,40,"E15453.322678",NA,37,NA,NA,NA,37,37,"30 Miles West Of Sanibel Island","Serafy, D. K.","observedindividualcount=2;","National Museum of Natural History, Smithsonian Institution","Florida","(Lamarck)","Alcohol (Ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1984,"urn:lsid:marinespecies.org:taxname:422800","1984","Lytechinus variegatus carolinus",510604,"2.0",FALSE,422800,27.8333301544,149854,1806,123179,"PreservedSpecimen",FALSE,"010ade3d-bd0a-4115-b559-94a2496279f8","18","Camarodonta",510534,"89e23fc8-3f61-4480-9de3-358fe6eefe0b",-80.3866729736,"Invertebrate Zoology: Echinoderms",453686400000,367850,"Odontophora",453686400000,"5","Lytechinus","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","1984-05-18T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus carolinus",TRUE,148744,510517,"USNM",453686400000,"Carinacea","Echinoidea","Echinidea",510518,"North Atlantic Ocean","Animalia",NA,123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",36.21,4113,25.14,14,"E33267.341493",NA,15,NA,NA,NA,15,15,NA,"Turner, R. L.","observedindividualcount=2;","National Museum of Natural History, Smithsonian Institution","Florida","Agassiz","Dry","Lytechinus variegatus carolinus",422800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1978,"urn:lsid:marinespecies.org:taxname:367850","1978","Lytechinus variegatus",510604,"1.0",FALSE,367850,27.872800827,149854,1806,123179,"HumanObservation",FALSE,"014b05ba-67d5-40d3-8df6-2c6777d88006","4","Camarodonta",510534,"982d4bc2-c3f1-4018-befd-ed34b101e4b1",-83.3936004639,"DAUPHIN ISLAND MAFLA OCS data",255398400000,367850,"Odontophora",255398400000,"2","Lytechinus","US National Oceanographic Data Center. 2011. South Texas Outer Continental Shelf (STOCS) and Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf study benthic organism sampling programs 1974-1978. US National Oceanographic Data Center. Silver Spring, Maryland, USA. Retrieve from http://obisusa.nbii.gov.","1978-02-04T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"BOEMRE",255398400000,"Carinacea","Echinoidea","Echinidea",510518,"Gulf of Mexico","Animalia","T.S. HOPKINS",123082,"Echinodermata","Lytechinus variegatus","10000.0","Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.9,53247,24.53,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1976,"urn:lsid:marinespecies.org:taxname:367850","1976","Lytechinus variegatus",510604,"1.0",FALSE,367850,29.0666999817,149854,1806,123179,"HumanObservation",FALSE,"015897b2-266f-49d0-8f77-e303c9c28066","26","Camarodonta",510534,"982d4bc2-c3f1-4018-befd-ed34b101e4b1",-85.2332992554,"DAUPHIN ISLAND MAFLA OCS data",194140800000,367850,"Odontophora",194140800000,"2","Lytechinus","US National Oceanographic Data Center. 2011. South Texas Outer Continental Shelf (STOCS) and Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf study benthic organism sampling programs 1974-1978. US National Oceanographic Data Center. Silver Spring, Maryland, USA. Retrieve from http://obisusa.nbii.gov.","1976-02-26T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"BOEMRE",194140800000,"Carinacea","Echinoidea","Echinidea",510518,"Gulf of Mexico","Animalia","T.S. HOPKINS",123082,"Echinodermata","Lytechinus variegatus","10000.0","Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.24,60634,24.42,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2004,"urn:lsid:marinespecies.org:taxname:367850","2004","Lytechinus variegatus",510604,NA,FALSE,367850,-23.137,149854,1806,123179,"PreservedSpecimen",FALSE,"019616de-8132-4e4b-a745-686aed9a6e01","27","Camarodonta",510534,"eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.326,"Echinoderms",1.085616e+12,367850,"Odontophora",1.085616e+12,"5","Lytechinus",NA,"2004-05-27T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"MMA/BIO23",1.085616e+12,"Carinacea","Echinoidea","Echinidea",510518,NA,"Animalia",NA,123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.02,69,23.74,-1,"VVLBOP417",NA,27.5,NA,NA,NA,27.5,27.5,"Ponta Longa Ilha Grande","Ventura, C.R.R.; Verrissimo, I.; Lima, R.N.P.; Barcellos, C.F.; OigmanPszczol, S.S",NA,NA,NA,"(Lamarck, 1816)",NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1978,"urn:lsid:marinespecies.org:taxname:367850","1978","Lytechinus variegatus",510604,"5.0",FALSE,367850,28.496099472,149854,1806,123179,"HumanObservation",FALSE,"019ed798-2aa9-4f37-9a18-63d65536031c","5","Camarodonta",510534,"982d4bc2-c3f1-4018-befd-ed34b101e4b1",-84.3471984863,"DAUPHIN ISLAND MAFLA OCS data",255484800000,367850,"Odontophora",255484800000,"2","Lytechinus","US National Oceanographic Data Center. 2011. South Texas Outer Continental Shelf (STOCS) and Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf study benthic organism sampling programs 1974-1978. US National Oceanographic Data Center. Silver Spring, Maryland, USA. Retrieve from http://obisusa.nbii.gov.","1978-02-05T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"BOEMRE",255484800000,"Carinacea","Echinoidea","Echinidea",510518,"Gulf of Mexico","Animalia","T.S. HOPKINS",123082,"Echinodermata","Lytechinus variegatus","10000.0","Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.66,137508,24.62,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,"urn:lsid:marinespecies.org:taxname:367850","2003","Lytechinus variegatus",510604,NA,FALSE,367850,-23.085,149854,1806,123179,"PreservedSpecimen",FALSE,"022e7e51-2398-4922-bb0d-3087893179ca","31","Camarodonta",510534,"eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.31,"Echinoderms",1067558400000,367850,"Odontophora",1067558400000,"10","Lytechinus",NA,"2003-10-31T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"MMA/BIO23",1067558400000,"Carinacea","Echinoidea","Echinidea",510518,NA,"Animalia",NA,123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.02,31,23.74,281,"VVLBOP402",NA,17,NA,NA,NA,17,17,"Ilha Queimada Grande","Ventura, C.R.R.; Verrissimo, I.; Lima, R.N.P.; Barcellos, C.F.; OigmanPszczol, S.S",NA,NA,NA,"(Lamarck, 1816)",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",1967,"urn:lsid:marinespecies.org:taxname:367850","1967","Lytechinus variegatus",510604,"2.0",FALSE,367850,27.6170005798,149854,1806,123179,"PreservedSpecimen",FALSE,"02fc4e5a-b240-484e-94c6-596d460ee08e",NA,"Camarodonta",510534,"89e23fc8-3f61-4480-9de3-358fe6eefe0b",-83.1169967651,"Invertebrate Zoology: Echinoderms",-78969600000,367850,"Odontophora",-78969600000,NA,"Lytechinus","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","1967-07-02T12:00:00Z",FALSE,"Echinacea",FALSE,149855,240777,"Lytechinus variegatus",TRUE,148744,510517,"USNM",-78969600000,"Carinacea","Echinoidea","Echinidea",510518,"North Atlantic Ocean","Animalia","Florida Department of Natural Resources",123082,"Echinodermata","Lytechinus variegatus",NA,"Echinozoa","Euechinoidea","Toxopneustidae",2,"310922b4-9d0c-4de1-92d7-9b442d34765b",35.94,34844,24.64,22,"E15094.322279",NA,18,NA,NA,NA,18,18,"18 Miles West Of Egmont Key","Serafy, D. K.","observedindividualcount=2;","National Museum of Natural History, Smithsonian Institution","Florida","(Lamarck)","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
