"decimalLongitude","decimalLatitude","trve"
-64.625,32.375,1
-79.875,27.375,1
-79.375,25.875,1
-81.625,24.625,1
-81.375,24.625,1
-81.125,24.625,1
-77.125,23.875,1
-77.875,23.625,1
-77.125,23.375,1
-89.625,22.625,1
-89.625,22.375,1
-91.375,22.125,1
-86.875,21.875,1
-86.625,21.875,1
-87.875,21.625,1
-97.125,21.375,1
-86.375,21.125,1
-86.875,20.875,1
-86.875,20.625,1
-87.125,20.375,1
-91.875,20.125,1
-68.875,20.125,1
-87.625,19.625,1
-95.875,19.125,1
-72.625,18.875,1
-94.875,18.625,1
-87.625,18.625,1
-65.625,18.375,1
-64.625,18.375,1
-63.125,18.125,1
-76.875,17.875,1
-67.125,17.875,1
-78.875,17.375,1
-62.875,17.375,1
-78.625,17.125,1
-87.625,16.625,1
-61.625,16.375,1
-61.875,16.125,1
-61.375,16.125,1
-79.875,15.875,1
-60.875,14.375,1
-81.375,13.375,1
-59.625,13.375,1
-59.625,13.125,1
-81.625,12.625,1
-69.125,12.375,1
-81.875,12.125,1
-72.125,12.125,1
-68.875,12.125,1
-74.125,11.375,1
-75.625,10.375,1
-75.625,10.125,1
-79.625,9.625,1
-78.875,9.625,1
-82.125,9.375,1
-80.125,9.375,1
-32.375,-3.875,1
-38.375,-16.375,1
-38.625,-16.625,1
-38.875,-19.375,1
-38.125,-19.375,1
-29.375,-20.625,1
-40.875,-21.375,1
-41.875,-22.625,1
-41.875,-22.875,1
