"scientificName","decimalLongitude","decimalLatitude"
"trve",-81.69695,12.5489166
"trve",-74.1283611,11.3256111
"trve",-81.7312333,12.5131333
"trve",-74.1666564941,11.3106632233
"trve",-81.6862833,12.5847166
"trve",-81.7258,12.5687
"trve",-81.7333333,12.5004167
"trve",-81.6956166,12.5551833
"trve",-81.7258,12.5687
"trve",-61.438331604,16.2033290863
"trve",-81.7258,12.5687
"trve",-81.1900024414,24.6766700745
"trve",-81.6851,12.5831666
"trve",-81.6956166,12.5551833
"trve",-81.7258,12.5687
"trve",-77.3268611,8.6167222
"trve",-81.7333333,12.5004167
"trve",-81.69695,12.5489166
"trve",-81.7258,12.5687
"trve",-78.5166702271,17.1833305359
"trve",-75.523109436,10.3828935623
"trve",-74.2200775146,11.2498779297
"trve",-77.1330032349,23.4169998169
"trve",-81.4032,13.3713833
"trve",-81.6862833,12.5847166
"trve",-81.6956166,12.5551833
"trve",-81.1900024414,24.6766700745
"trve",-60.8933296204,14.4149999619
"trve",-81.7258,12.5687
"trve",-81.7258,12.5687
"trve",-75.6669998169,10.1669998169
"trve",-81.6956166,12.5551833
"trve",-75.5938415527,10.3308868408
"trve",-75.636177063,10.1792974472
"trve",-81.6956166,12.5551833
"trve",-77.7783279419,23.7199993134
"trve",-81.7333333,12.5004167
"trve",-81.69695,12.5489166
"trve",-81.7312333,12.5131333
"trve",-81.3883285522,24.5533294678
"trve",-81.6862833,12.5847166
"trve",-81.7312333,12.5131333
"trve",-81.7333333,12.5004167
"trve",-81.7258,12.5687
"trve",-74.0907058716,11.3349046707
"trve",-81.7258,12.5687
"trve",-78.8000030518,17.3333301544
"trve",-77.33625,8.6420555
"trve",-81.69695,12.5489166
"trve",-81.7333333,12.5004167
"trve",-80.0699996948,9.26167011261
"trve",-81.7333333,12.5004167
"trve",-81.7333333,12.5004167
"trve",-81.7258,12.5687
"trve",-81.7312333,12.5131333
"trve",-38.636,-16.565
"trve",-81.69695,12.5489166
"trve",-81.6851,12.5831666
"trve",-78.9833297729,9.55000019073
"trve",-81.7312333,12.5131333
"trve",-81.6956166,12.5551833
"trve",-81.128326416,24.7133293152
"trve",-81.7312333,12.5131333
"trve",-81.7333333,12.5004167
"trve",-81.69695,12.5489166
"trve",-81.6956166,12.5551833
"trve",-81.6862833,12.5847166
"trve",-81.69695,12.5489166
"trve",-81.7258,12.5687
"trve",-81.7333333,12.5004167
"trve",-81.6862833,12.5847166
"trve",-81.6956166,12.5551833
"trve",-81.7312333,12.5131333
"trve",-81.69695,12.5489166
"trve",-61.438331604,16.2033290863
"trve",-81.69695,12.5489166
"trve",-68.9833297729,20.0166702271
"trve",-81.7333333,12.5004167
"trve",-81.7312333,12.5131333
"trve",-77.9333267212,18.4833297729
"trve",-81.69695,12.5489166
"trve",-81.69695,12.5489166
"trve",-81.6956166,12.5551833
"trve",-81.7312333,12.5131333
"trve",-81.69695,12.5489166
"trve",-81.69695,12.5489166
"trve",-81.7312333,12.5131333
"trve",-81.3970667,13.3987167
"trve",-81.7312333,12.5131333
"trve",-81.6956166,12.5551833
