"species","scenario","mean_sst","sd_sst","total_higher","total_below","percent_higher"
"eclu","ssp3",0.358110794050556,1.31461492629861,726,274,72.6
"eclu","ssp2",-0.475298232971038,1.29144011991936,443,557,44.3
"eclu","ssp1",-1.24016775670791,1.2516089434081,60,940,6
"eclu","current",-2.28035918803641,1.24344642515648,0,1000,0
"lyva","ssp3",1.40682623258018,1.82446615771944,745,255,74.5
"lyva","ssp2",0.557924308361412,1.82004928451668,653,347,65.3
"lyva","ssp1",-0.204230419201699,1.80012958481068,538,462,53.8
"lyva","current",-1.2610955180851,1.81825706612931,315,685,31.5
"trve","ssp3",-0.671000226912846,0.925797260175256,217,783,21.7
"trve","ssp2",-1.5088367201158,0.914821488690611,7,993,0.7
"trve","ssp1",-2.27972974044348,0.89643330022909,4,996,0.4
"trve","current",-3.32267471527442,0.88622760791088,0,1000,0
